"id","name","code_prefix"
"trag0","Serbest",0
"trag1","Dönen Varlıklar",1
"trag2","Duran Varlıklar",2
"trag3","Kısa Vadeli Yabancı Varlıklar",3
"trag4","Uzun Vadeli Yabancı Varlıklar",4
"trag5","Öz Kaynaklar",5
"trag6","Gelir Tablosu Hesapları",6
"trag7","Maliyet Hesapları",7
"trag8","Serbest",8
"trag9","Nazım Hesaplar",9
"trag10","Hazır Değerler",10
"trag11","Menkul Kıymetler",11
"trag12","Ticari Alacaklar",12
"trag13","Diğer Alacaklar",13
"trag15","Stoklar",15
"trag18","Gelecek Aylara Ait Giderler ve Gelir Tahakkukları",18
"trag19","Diğer Dönen Varlıklar",19
"trag22","Ticari Alacaklar",22
"trag23","Diğer Alacaklar",23
"trag24","Mali Duran Varlıklar",24
"trag25","Maddi Duran Varlıklar",25
"trag26","Maddi Olmayan Duran Varlıklar",26
"trag27","Özel Tükenmeye Tabi Varlıklar",27
"trag28","Gelecek Yıllara Ait Giderler ve Gelir Tahakkukları",28
"trag29","Diğer Duran Varlıklar",29
"trag30","Mali Borçlar",30
"trag32","Ticari Borçlar",32
"trag33","Diğer Borçlar",33
"trag34","Alınan Avanslar",34
"trag36","Ödenecek Vergi ve Diğer Yükümlülükler",36
"trag37","Borç ve Gider Karşılıkları",37
"trag38","Gelecek Aylara Ait Giderler ve Gider Tahakkukları",38
"trag39","Diğer Kısa Vadeli Yabancı Kaynaklar",39
"trag40","Mali Borçlar",40
"trag42","Ticari Borçlar",42
"trag43","Diğer Borçlar",43
"trag44","Alınan Avanslar",44
"trag47","Borç ve Diğer Karşılıkları",47
"trag48","Gelecek Yıllara Ait Giderler ve Gider Tahakkukları",48
"trag49","Diğer Uzun Vadeli Yabancı Kaynaklar",49
"trag50","Ödenmiş Sermaye",50
"trag52","Sermaye Yedekleri",52
"trag54","Kar Yedekleri",54
"trag57","Geçmiş Yıllar Karları",57
"trag58","Geçmiş Yıllar Zararları",58
"trag59","Dönem Net Karı (Zararı)",59
"trag60","Brüt Satışlar",60
"trag61","Satış İndirimleri (-)",61
"trag62","Satışların Maliyeti (-)",62
"trag63","Faaliyet Giderleri (-)",63
"trag64","Diğer Faaliyetlerden Olağan Gelir ve Karlar",64
"trag65","Diğer Faaliyetlerden Olağan Gider ve Zararlar (-)",65
"trag66","Finansman Giderleri (-)",66
"trag67","Olağandışı Gelir ve Karlar",67
"trag68","Olağandışı Gider ve Zararlar (-)",68
"trag69","Dönem Net Karı (Zararı)",69
"trag70","Maliyet Muhasebesi Bağlantı Hesapları",70
"trag71","Direkt İlkmadde ve Malzeme Giderleri",71
"trag72","Direkt İşçilik Giderleri",72
"trag73","Genel Üretim Giderleri",73
"trag74","Hizmet Üretim Maliyeti",74
"trag75","Araştırma ve Geliştirme Giderleri",75
"trag76","Pazarlama Satış ve Dağıtım Giderleri",76
"trag77","Genel Yönetim Giderleri",77
"trag78","Finansman Giderleri",78
"trag79","Gider Çeşitleri",79
